edge	PearsonCor
ENSDARG00000062598 (geneExprCor) ENSDARG00000000887	0.877020332888941
ENSDARG00000062598 (geneExprCor) ENSDARG00000014209	0.861482821003796
ENSDARG00000062598 (geneExprCor) ENSDARG00000042956	0.809849431136271
ENSDARG00000062598 (geneExprCor) ENSDARG00000053387	0.837446193458663
ENSDARG00000063186 (geneExprCor) ENSDARG00000037551	0.832191277147579
ENSDARG00000063186 (geneExprCor) ENSDARG00000042698	0.804617669653264
ENSDARG00000063186 (geneExprCor) ENSDARG00000056387	0.809405274286433
ENSDARG00000063186 (geneExprCor) ENSDARG00000057368	0.836675291359452
ENSDARG00000068221 (geneExprCor) ENSDARG00000042698	0.809626048199221
ENSDARG00000068398 (geneExprCor) ENSDARG00000037551	0.808483763668104
ENSDARG00000069552 (geneExprCor) ENSDARG00000012820	0.823891280247001
ENSDARG00000069552 (geneExprCor) ENSDARG00000013351	0.808372340572891
ENSDARG00000069552 (geneExprCor) ENSDARG00000016484	0.814750404502704
ENSDARG00000069552 (geneExprCor) ENSDARG00000017762	0.852830591221057
ENSDARG00000069552 (geneExprCor) ENSDARG00000023272	0.817489051358781
ENSDARG00000069552 (geneExprCor) ENSDARG00000025847	0.820742123188722
ENSDARG00000069758 (geneExprCor) ENSDARG00000007601	0.811844336716473
ENSDARG00000069758 (geneExprCor) ENSDARG00000042698	0.831994542320443
ENSDARG00000069758 (geneExprCor) ENSDARG00000052894	0.802036669476827
ENSDARG00000069758 (geneExprCor) ENSDARG00000056387	0.820732015856632
ENSDARG00000069758 (geneExprCor) ENSDARG00000062402	0.828000496135698
ENSDARG00000070019 (geneExprCor) ENSDARG00000004735	0.804950972714674
ENSDARG00000070126 (geneExprCor) ENSDARG00000000887	0.903048821072398
ENSDARG00000070126 (geneExprCor) ENSDARG00000007601	0.893636055085525
ENSDARG00000070126 (geneExprCor) ENSDARG00000011932	0.907612553603283
ENSDARG00000070126 (geneExprCor) ENSDARG00000014039	0.803250961196349
ENSDARG00000070126 (geneExprCor) ENSDARG00000014209	0.907497718937501
ENSDARG00000070126 (geneExprCor) ENSDARG00000037551	0.902195699153505
ENSDARG00000070126 (geneExprCor) ENSDARG00000037874	0.864532088312823
ENSDARG00000070126 (geneExprCor) ENSDARG00000042698	0.812255352604132
ENSDARG00000070126 (geneExprCor) ENSDARG00000052894	0.869277311976672
ENSDARG00000070126 (geneExprCor) ENSDARG00000056387	0.950803807098216
ENSDARG00000070126 (geneExprCor) ENSDARG00000057368	0.811067082302627
ENSDARG00000070656 (geneExprCor) ENSDARG00000002403	0.85168687736627
ENSDARG00000070656 (geneExprCor) ENSDARG00000005551	0.815869549786974
ENSDARG00000070656 (geneExprCor) ENSDARG00000014017	0.885651610448262
ENSDARG00000070656 (geneExprCor) ENSDARG00000015111	0.822183441032926
ENSDARG00000070656 (geneExprCor) ENSDARG00000019339	0.826481721129755
ENSDARG00000070656 (geneExprCor) ENSDARG00000029722	0.841778814103708
ENSDARG00000070656 (geneExprCor) ENSDARG00000031495	0.800767727689501
ENSDARG00000070656 (geneExprCor) ENSDARG00000037109	0.842142154507031
ENSDARG00000070656 (geneExprCor) ENSDARG00000038066	0.827013798793609
ENSDARG00000070656 (geneExprCor) ENSDARG00000052856	0.812507164281739
ENSDARG00000070656 (geneExprCor) ENSDARG00000054562	0.810970250598315
ENSDARG00000070858 (geneExprCor) ENSDARG00000000887	0.852240698739998
ENSDARG00000070858 (geneExprCor) ENSDARG00000014039	0.842859089342792
ENSDARG00000070858 (geneExprCor) ENSDARG00000014209	0.810677939544491
